date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:19	3714/3714	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202022%2021:43:16%20GMT	https://alex.jollyany.co/media/vendor/bootstrap/js/toast.min.js?5.1.3	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/vendor/bootstrap/js/toast.min5488.js	(from https://alex.jollyany.co/index.php/blog)
16:00:19	89501/89501	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202022%2021:42:18%20GMT	https://alex.jollyany.co/media/vendor/jquery/js/jquery.min.js?3.6.0	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/vendor/jquery/js/jquery.min84e3.js	(from https://alex.jollyany.co/index.php/blog)
16:00:19	26/26	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202022%2021:42:48%20GMT	https://alex.jollyany.co/media/legacy/js/jquery-noconflict.min.js?04499b98c0305b16b373dff09fe79d1290976288	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/legacy/js/jquery-noconflict.minaad7.js	(from https://alex.jollyany.co/index.php/blog)
16:00:20	49530/49530	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202022%2008:59:54%20GMT	https://alex.jollyany.co/media/jollyany/assets/fonts/linearicons/font.css?3fceaeb4a02f52d31d24890a5ebb1660	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/jollyany/assets/fonts/linearicons/font66ca.css	(from https://alex.jollyany.co/index.php/blog)
16:00:20	18081/18081	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%22dfb8fc36e102730fddf78b5494eb0035%22	https://use.fontawesome.com/releases/v6.0.0/css/all.css	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/use.fontawesome.com/releases/v6.0.0/css/all.css	(from https://alex.jollyany.co/index.php/blog)
16:00:21	94522/94522	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202022%2021:42:40%20GMT	https://alex.jollyany.co/media/system/css/joomla-fontawesome.css?3fceaeb4a02f52d31d24890a5ebb1660	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/system/css/joomla-fontawesome66ca.css	(from https://alex.jollyany.co/index.php/blog)
16:00:21	1352/1352	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202022%2008:59:54%20GMT	https://alex.jollyany.co/media/astroid/assets/vendor/astroid/css/debug.css?3fceaeb4a02f52d31d24890a5ebb1660	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/media/astroid/assets/vendor/astroid/css/debug66ca.css	(from https://alex.jollyany.co/index.php/blog)
16:00:21	750293/750293	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202022%2009:04:08%20GMT	https://alex.jollyany.co/templates/tz_alex/css/compiled-15e9f3a4d3758169c4ff3d5354ad0cb9.css?3fceaeb4a02f52d31d24890a5ebb1660	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/templates/tz_alex/css/compiled-15e9f3a4d3758169c4ff3d5354ad0cb966ca.css	(from https://alex.jollyany.co/index.php/blog)
16:00:21	215/215	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202022%2008:59:54%20GMT	https://alex.jollyany.co/templates/tz_alex/js/custom.js?3fceaeb4a02f52d31d24890a5ebb1660	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/templates/tz_alex/js/custom66ca.js	(from https://alex.jollyany.co/index.php/blog)
16:00:22	65185/65185	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2013:00:22%20GMT	https://alex.jollyany.co/index.php/pages/border-style	C:/Users/yakup/OneDrive/Masa%c3%bcst%c3%bc/%c5%9eeyma/111/alex.jollyany.co/index.php/pages/border-style.html	(from https://alex.jollyany.co/index.php/blog)
